,Document Name,Question,Answer,Location in the Document
9,Residential Tenancies Act 2010 (NSW),How much notice is required for a landlord to terminate a tenancy agreement?,"The following notice is required for the following grounds of termination date and types of tenancy agreements?

s87C - Breach of tenancy agreement
- atleast 14 Days after the termination notice is given

s87D - Actual sale of premises
-Periodic Agreement = 30 days after the termination notice is given
-Fixed Term Agreement = on or after the end of the agreement and at least  30 days after the notice is given

s87E - Proposed sale of premises
-Periodic Agreement = at least 90 days after the termination notice is given
-Fixed Term Agreement = on or after the end of the agreement and at least 90 days after the notice is given
-Short-Fixed Term Agreement = on or after the end of the agreement and at least 60 days after the notice is given

s87F - Significant renovations or repairs to premises
-Periodic Agreement = at least 90 days after the termination notice is given
-Fixed Term Agreement = on or after the end of the agreement and at least 90 days after the notice is given
-Short-Fixed Term Agreement = on or after the end of the agreement and  and at least 60 days after the notice is given

s87G - Demolition of premises
-Periodic Agreement =at least 90 days after the termination notice is given
-Fixed Term Agreement = on or after the end of the agreement and at least 90 days after the notice is given
-Short-Fixed Term Agreement = on or after the end of the agreement and at least 60 days after the notice is given

s87H - Tenant no longer eligible for affordable housing scheme
-Periodic Agreement = at least 90 days after the termination notice is given
-Fixed Term Agreement = on or after the end of the agreement and  and at least 90 days after the notice is given
-Short-Fixed Term Agreement = on or after the end of the agreement and  at least 60 days after the notice is given

s87I - Tenant no longer eligible for transitional housing program
-Periodic Agreement = at least  90 days after the termination notice is given
-Fixed Term Agreement =  on or after the end of the agreement and at least 90 days after the notice is given
-Short-Fixed Term Agreement = on or after the end of the agreement and at least 60 days after the notice is given

s87J - Premises required for key worker accommodation
-Periodic Agreement = at least 90 days after the termination notice is given
-Fixed Term Agreement = on or after the end of the agreement and at least 90 days after the notice is given
-Short-Fixed Term Agreement = on or after the end of the agreement and at least 60 days after the notice is given

s87K - Tenant no longer eligible for student accommodation
-Periodic Agreement = at least 90 days after the termination notice is given
-Fixed Term Agreement = on or after the end of the agreement and at least 90 days after the notice is given
-Short-Fixed Term Agreement = on or after the end of the agreement and at least 60 days after the notice is given

s87L - Premises no longer to be used as rented residential premises
-Periodic Agreement = at least 90 days after the termination notice is given
-Fixed Term Agreement = on or after the end of the agreement and at least 90 days after the notice is given
-Short-Fixed Term Agreement = on or after the end of the agreement and at least 60 days after the notice is given

s87M - Landlord ore family will reside at the premises
-Periodic Agreement = at least 90 days after the termination notice is given
-Fixed Term Agreement = on or after the end of the agreement and at least 90 days after the notice is given
-Short-Fixed Term Agreement = on or after the end of the agreement and at least 60 days after the notice is given

s87N - Employee and caretaker residential tenancy agreement
- the termination date on the notice must be the later of: (a) 30 Days after the notice is given or (b) on or after the end of the period of notice specified in the employee or caretaker residential tenancy agreement.

","s87C, s87D, S87E, s87F, s87G, S87H, S87I, s87J, s87K, s87L, s87M, s87N"
10,"Residential Tenancies Act 2010 (NSW)

Residential Tenancies Regulation 2019 (NSW)",What constitutes a “termination for breach” under the Act?,"A breach occurs when a tenant fails to comply with a requirement of the tenancy agreement or an obligation imposed by the Residential Tenancies Act 2010 (NSW). Examples of breaches include: failure to pay rent on time (88, 89). Failure to use or care for premises including causing or permitting damage (s51), interfering with neighbors' peace, comfort or privacy (s50), other breaches include, keeping  a pet where consent is not give, sub-letting without consent (s87C)","s87C, s88, s89

RTR: Schedule 1 (standard form agreement)"
11,PropertyAndStockAgentActact-2002,What licenses requirements for real estate agents under the Property and Stock Agents Act?,"Section 8: An individual must not act as or carry on the business of (or advertise, notify or state that the individual acts as or carries on the business of, or is willing to act as or carry on the business of)  a real estate agent, unless the individual is the holder of a real estate agent’s licence,
Section 9: A corporation must not act as or carry on the business of an agent unless the corporation holds a corporation licence. Section 10: Assistant agents require a certificate of registration.
Section 11: Assistant agents must be employed and supervised by a licensee (specifically a Licensee in Charge who holds a Class 1 licence).
Section 31: The holder of a Class 1 licence must be appointed to be in charge of the business.","s8(1)(a), s9(1),s11,s31"
,"Residential Tenancies Act 2010 (NSW)
Residential Tenancies Regulation 2019","What is the penalty notice amount that applies when a landlord or agent advertises, in relation to residential premises for lease, that a tenant’s animal will not be permitted to be kept at the residential premises?
",$440,"s73H
Schedule 4 - penalty notice offences"
,"Residential Tenancies Act 2010 
Residential Tenancies Regulation 2019",What is the time limit for a tenant to apply to NCAT to challenge an excessive rent increase?,"
A tenant must apply within 30 days after the notice of rent increase Id given","s44(2)
cl39(1)"
,Uncollected Goods Act 1995,Can a tenant seek compensation for damaged goods left behind in a property after moving out?,"Yes. The Tribunal may, on application by a depositor or a person who has an interest in uncollected goods, make an order requiring the receiver to pay compensation for uncollected goods damaged after being left in the possession of the receiver and before being claimed by the person entitled to them.",s31B(1)(b)
,Uncollected Goods Act 1995,"What must a landlord do before disposing of uncollected goods valued at atleast $20,000?","A landlord must not dispose of high value uncollected goods (with a value of atleast $20,000) otherwise than in accordance with an order of the Tribunal.","s22(1), s22(2)"
,NA,What are the main nutritional benefits of eating blueberries?,This information is unrelated to tenancy regulation and has no relevance to Fair Trading.,NA
,Code-of-Conduct-for-the-Short-term-Rental-Accommodation-Industry,How long must a booking platform keep a record of each transaction involving a short-term rental accommodation arrangement?,The record must be kept for 3 years after the end of the occupancy period,section 2.2.9(a)
,Code-of-Conduct-for-the-Short-term-Rental-Accommodation-Industry,What type of insurance must hosts hold for their short-term rental premises?,A host must hold insurance that covers their liability for third party injuries and death on short-term rental accommodation premises. This insurance must be valid for the occupancy period.,section 2.4.3
,"Fair Trading Act 1987 (NSW)
Fair Trading Regulation 2019 (NSW)",What is the penalty notice amount that applies if a short-term rental industry participant breaks a rule in the Code of Conduct that is listed as an offence provision?,"$550 for an individual
$1,100 for a corporation","s54C, Schedule 1 Penalty notice offences"
,"Fair Trading Act 1987 (NSW)
Fair Trading Regulation 2019 (NSW)",What is the penalty notice amount that applies if someone does not comply with a coercive notice under section 20 of the Fair Trading Act 2019?,"$550 for an individual
$1,100 for a corporation","s20(3)(a), Schedule 1 Penalty notice offences"
,Boarding Houses Act 2012,What is the meaning of “registrable boarding house”?,"For the purposes of this Act, a registrable boarding house means any of the following: (a) a general boarding house, (b) an assisted boarding house that is required to be authorised under Part 4 for it to be lawfully used as such under that Part (a regulated assisted boarding house).",s5(1)
,Boarding Houses Act 2012,"What is a"" general boarding house?""","Boarding premises are a general boarding house if the premises provide beds, for a fee or reward, for use by 5 or more residents (not counting any residents who are proprietors or managers of the premises or relatives of the proprietors or managers). However, a general boarding house does not include any of the following: (a) a regulated assisted boarding house, (b) premises that are used as a hotel, motel or bed and breakfast accommodation, (c) premises that are used as a backpackers hostel,  (d) a serviced apartment (being a building or part of a building that is used to provide self-contained tourist or visitor accommodation that is regularly cleaned by or on behalf of the proprietor or manager), (e) premises that are used to provide accommodation for workers or employees in connection with their work or employment, (f) a government school or registered non-government school within the meaning of the Education Act 1990 or any other premises that are used by an educational body to provide accommodation for its students, (g) a private health facility licensed under the Private Health Facilities Act 2007, (h) a nursing home within the meaning of the Public Health Act 2010, (i) a mental health facility within the meaning of the Mental Health Act 2007, (j) a public hospital within the meaning of the Health Services Act 1997, (k) a residential care facility under the Aged Care Act 1997 of the Commonwealth operated by an approved provider under that Act, (l) a retirement village under the Retirement Villages Act 1999, (m) premises that are the subject of a residential tenancy agreement to which the Residential Parks Act 1998 applies, (n) premises that are the subject of an occupation agreement to which the Holiday Parks (Long-term Casual Occupation) Act 2002 applies, (o) social housing premises within the meaning of Part 7 of the Residential Tenancies Act 2010, (p) premises used for refuge or crisis accommodation, or accommodation for persons with additional needs, that is provided by a public authority, council or any other body or organisation and that is wholly or partly funded by the Commonwealth or the State (or an agency of the Commonwealth or the State), (q) premises (or premises of a kind) prescribed by the regulations.",s5(2) and s5(3)
,Boarding Houses Regulation 2013,What fire safety procedure records must an authorised boarding house keep?,"The fire safety procedure records to be kept for an authorised boarding house are as follows—
(a)  any emergency evacuation plans prepared for the boarding house,
(b)  fire safety certificates and statements for the boarding house,
(c)  the dates for evacuation tests that have been carried out,
(d)  the dates and reasons for any actual evacuations",cl25
,Boarding Houses Regulation 2013,Are managers of authorised boarding houses required to report police attendances?,The manager of an authorised boarding house must report to the Director-General the attendance of any police officer at the boarding house as soon as is reasonably practicable after the attendance if the reason for the attendance was to investigate an incident involving an additional needs resident.,cl27(1)
,Fair Trading Act 1987 (NSW),What are the maximum penalties for an offence where a short-term rental accommodation industry participant contravenes a provision of a code of conduct that is identified by the code as an offence provision?,"  The maximum penalties are 1,000 penalty units for a corporation and 200 penalty units in any other case",s54C
,Fair Trading Act 1987 (NSW),  What is the time limit for bringing a civil penalty application for a breach of the STRA Code of Conduct? ,An application under section 54D may only be made within the period of 2 years of the date on which the contravention is alleged to have occurred.,54D
,nsw.gov.au-Changes to rental laws,What must a landlord do when a tenant asks for permission to keep a pet using the approved form?,"Landlords need to provide a written response to a pet request within 21 days. If they do not respond, the request is automatically approved.
",NA
,nsw.gov.au-Changes to rental laws, On what date did the new rule start that limits rent increaseas to once per year?,The once-per-year rent increase rule began on 31 October 2024.,NA
,"Government Information (Public 
Access) Act 2009 No 52","  If a member of the public asks for a copy of information held by our agency, what law requires us to consider releasing ",A person who makes an access application for government information has a legally enforceable right to be provided with access to the information in accordance with Part 4 (Access applications) unless there is an overriding public interest against disclosure of the information.,s9(1)
,"Government Information (Public 
Access) Act 2009 No 52"," If our agency decides to refuse access to information, what must we provide to the applicant?  ","Notice of an agency’s decision to refuse to provide access to information because there is an overriding public interest against disclosure of the information must state the following—

(a)  the agency’s reasons for its decision,
(b)  the findings on any material questions of fact underlying those reasons, together with a reference to the sources of information on which those findings are based,
(c)  the general nature and the format of the records held by the agency that contain the information concerned.",s61
,  Australian Government Investigations Standard 2022 (AGIS),What are the AGIS principles?,"The following are principles guiding and reinforcing AGIS and apply to all types of investigations:
1. Ethics and professionalism are applied and performed to the highest order in investigations.
 2. Investigations support the business and reputation of government.
 3. A continuous cycle of review is applied to investigations.
4. Entities are responsible for investigation information management of their entity.",p1
,  Australian Government Investigations Standard 2022 (AGIS),"When an investigator needs to use an expert witness, what key factors must be considered?","The following should be considered when using expert witnesses: 

1. ensure the expert opinion is impartial 

2. consideration of a non-disclosure agreement (material with security classification)

3. ensure compliance with the rules of evidence:  

-  obtain and record relevant legal advice regarding using an expert 

- review evidence legislation, court notes or case law relating to using an expThe following should be considered when using expert witnesses: 
",p15
